1,Diego Alves,32,G
2,Cassio,30,G
3,Weverton,30,G
4,Alisson,25,G
5,Danilo Fernandes,29,G
6,Alex Muralha,28,G
7,Ederson Moraes,24,G
8,Joao Miranda,33,D
9,Rafinha,32,D
10,Dani Alves,34,D
11,Filipe Luis,32,D
12,Fabio Santos,32,D
13,Thiago Silva,33,D
14,David Luiz,30,D
15,Pedro Geromel,32,D
16,Fagner,28,D
17,Marcelo,29,D
18,Marcos Rocha,29,D
19,Danilo,26,D
20,Alex Sandro,26,D
21,Gil,30,D
22,Vitor Hugo,26,D
23,Marquinhos,23,D
24,Rodrigo Caio,24,D
25,Luan Garcia,24,D
26,Jemerson,25,D
27,Jorge,21,D
28,Diego,32,M
29,Willian,29,M
30,Renato Augusto,29,M
31,Henrique,32,M
32,Diego Souza,32,M
33,Fernandinho,32,M
34,Giuliano,27,M
35,Paulinho,29,M
36,Taison,29,M
37,Camilo,31,M
38,Douglas Costa,27,M
39,Rodriguinho,29,M
40,Philippe Coutinho,25,M
41,Casemiro,25,M
42,Lucas Lima,27,M
43,Willian Arao,25,M
44,Walace,22,M
45,Gustavo Scarpa,23,M
46,Robinho,33,A
47,Dudu,25,A
48,Neymar,25,A
49,Roberto Firmino,26,A
50,Luan,24,A
51,Gabriel Jesus,20,A
