1,J. Hart,30,G
2,T. Heaton,31,G
3,F. Forster,29,G
4,J. Pickford,23,G
5,J. Butland,24,G
6,A. Gunn,21,G
7,G. Cahill,32,D
8,D. Rose,27,D
9,R. Bertrand,28,D
10,A. Cresswell,28,D
11,N. Clyne,26,D
12,K. Walker,27,D
13,C. Smalling,28,D
14,P. Jones,25,D
15,K. Trippier,27,D
16,H. Maguire,24,D
17,B. Gibson,24,D
18,J. Stones,23,D
19,M. Keane,24,D
20,L. Shaw,22,D
21,J. Gomez,20,D
22,A. Young,32,M
23,A. Lallana,29,M
24,J. Cork,28,M
25,J. Livermore,28,M
26,A. Oxlade-Chamberlain,24,M
27,N. Redmond,23,M
28,R. Barkley,24,M
29,R. Sterling,23,M
30,J. Ward-Prowse,23,M
31,D. Alli,21,M
32,J. Lingard,25,M
33,E. Dier,23,M
34,R. Loftus-Cheek,21,M
35,L. Cook,20,M
36,J. Defoe,35,A
37,H. Kane,24,A
38,J. Vardy,30,A
39,D. Solanke,20,A
40,T. Abraham,20,A
41,M. Rashford,20,A
