1,H. Lloris,30,G
2,S. Mandanda,32,G
3,B. Costil,30,G
4,A. Areola,24,G
5,C. Jallet,34,D
6,L. Koscielny,32,D
7,S. Corchia,27,D
8,D. Sidibe,25,D
9,L. Digne,24,D
10,L. Kurzawa,25,D
11,R. Varane,24,D
12,S. Umtiti,24,D
13,B. Mendy,23,D
14,K. Zouma,23,D
15,A. Laporte,23,D
16,P. Kimpembe,22,D
17,B. Pavard,21,D
18,B. Matuidi,30,M
19,D. Payet,30,M
20,M. Sissoko,28,M
21,S. N'Zonzi,29,M
22,T. Bakayoko,23,M
23,P. Pogba,24,M
24,F. Thauvin,24,M
25,T. Lemar,22,M
26,N. Kante,26,M
27,C. Tolisso,23,M
28,A. Rabiot,22,M
29,K. Gameiro,30,A
30,O. Giroud,31,A
31,A. Lacazette,26,A
32,A. Griezmann,26,A
33,N. Fekir,24,A
34,A. Martial,22,A
35,K. Coman,21,A
36,O. Dembele,20,A
37,K. Mbappe,19,A
