1,K. Trapp,27,G
2,M. ter Stegen,25,G
3,B. Leno,25,G
4,J. Boateng,29,D
5,B. Howedes,29,D
6,M. Hummels,29,D
7,S. Mustafi,25,D
8,M. Plattenhardt,25,D
9,J. Hector,27,D
10,M. Halstenberg,26,D
11,A. Rudiger,24,D
12,N. Sule,22,D
13,M. Ginter,23,D
14,B. Henrichs,20,D
15,M. Ozil,29,M
16,S. Khedira,30,M
17,T. Kroos,27,M
18,S. Rudy,27,M
19,I. Gundogan,27,M
20,M. Gotze,25,M
21,A. Schurrle,27,M
22,D. Demme,26,M
23,E. Can,23,M
24,J. Draxler,24,M
25,L. Goretzka,22,M
26,J. Brandt,21,M
27,K. Demirbay,24,M
28,J. Weigl,22,M
29,J. Kimmich,22,M
30,L. Sane,21,M
31,L. Podolski,32,A
32,T. Muller,28,A
33,L. Stindl,29,A
34,S. Wagner,30,A
35,A. Younes,24,A
36,T. Werner,21,A
