1,P. Abrahamsson,29,G
2,K. Nordfeldt,28,G
3,K. Johnsson,27,G
4,R. Olsen,27,G
5,A. Linde,24,G
6,T. Erlandsson,21,G
7,A. Granqvist,32,D
8,M. Lustig,31,D
9,E. Salomonsson,28,D
10,N. Hult,27,D
11,A. Tinnerholm,26,D
12,P. Jansson,26,D
13,V. Lindelof,23,D
14,L. Augustinsson,23,D
15,J. Une-Larsson,23,D
16,E. Krafth,23,D
17,P. Konate,23,D
18,F. Helander,24,D
19,J. Nilsson,23,D
20,L. Wahlqvist,21,D
21,F. Dagerstal,20,D
22,F. Brorsson,21,D
23,J. Johansson,27,M
24,S. Larsson,32,M
25,A. Ekdal,28,M
26,J. Durmaz,28,M
27,E. Forsberg,26,M
28,J. Allansson,25,M
29,O. Hiljemark,25,M
30,O. Lewicki,25,M
31,V. Claesson,25,M
32,M. Rohden,26,M
33,K. Olsson,22,M
34,K. Sema,24,M
35,M. Berg,31,A
36,O. Toivonen,31,A
37,N. Barkroth,25,A
38,S. Armenteros,27,A
39,J. Guidetti,25,A
40,S. Andersson,26,A
41,S. Larsson,24,A
42,C. Nyman,25,A
43,S. Ghoddos,24,A
44,I. Thelin,25,A
45,D. Moberg-Karlsson,23,A
46,A. Jeremejeff ,24,A
47,P. Frick,25,A
48,A. Isak,18,A
